section,question_number,question,correct_answer,keywords
8,86,Can I create a report to track how many follow-ups Iâ€™ve done this week?," Yes. Go to Reports > Custom Reports > Single Object (Tasks or Contacts)
•	Filter: Activity type = “Call” or “Email,” Date range = “This week”
•	Group by Owner
 Save the report to your dashboard for weekly reviews.","Reports > Custom Reports | ""Activity type = Call/Email"" | ""Date range = This week"" | ""Group by Owner"""
8,87,How can I export a list of leads with custom properties?,"1.	Go to Contacts > Apply filters
2.	Click “Export” (top right)
3.	Choose file type (CSV/XLS)
4.	Select which fields/properties you want in the export
 Useful for syncing offline reviews or uploading into another system.","Apply filters | ""Click Export"" | ""choose file type"" | ""select fields/properties"""
9,88,What is the deadline to apply to the University of California (UCs) for undergrad?,The UC application opens on August 1 and must be submitted between November 1-30. No extensions or early deadlines.,"UC application opens on August 1 | ""submitted between November 30"""
9,89,When are Oxbridge (Oxford & Cambridge) undergraduate applications due?,"The deadline is October 15 every year via UCAS. This applies to all courses at Oxford and Cambridge and most courses in medicine, veterinary science, and dentistry.","deadline is October 15 | ""via UCAS"" | ""all courses at Oxford and Cambridge"" | ""medicine, veterinary science, and dentistry"""
9,90,What is the UCAS deadline for undergraduate applications in the UK?,"October 15 for Oxbridge and select medicine/dentistry programs
January 31 for most other UK universities and courses (official equal consideration deadline).","October 15 for Oxbridge | ""January 31"" | ""equal consideration deadline"" | ""most other UK universities"""
9,91,When should students submit their Common App for US colleges?,"Early Action (EA) and Early Decision (ED) deadlines are typically around November 1 or 15
Regular Decision (RD) deadlines are usually around January 1-5
Note: Some colleges may have their own specific deadlines or rolling admissions.","Early Action = November 1 or 15 | ""Early Decision = November 1 or 15"" | ""Regular Decision = January 1–5"""
9,92,"What’s the difference between EA, ED, and RD?","Early Action (EA): Non-binding. You apply early and hear back early.
Early Decision (ED): Binding. You must attend if admitted.
Regular Decision (RD): Standard timeline with decisions usually by March/April.","Early Action: Non-binding | ""Early Decision: Binding"" | ""must attend if admitted"" | ""Regular Decision: Standard timeline"""
9,93,What are typical deadlines for Master’s programs (non-MBA)?,"Most Master's programs have multiple rounds or rolling admissions. Common timelines:
Round 1: October-December
Round 2: January-March
Final/Extended rounds: April-June
Always check university websites as deadlines vary by country, program, and school.","multiple rounds | ""rolling admissions"" | ""Round 1: October–December"" | ""Round 2: January–March"" | ""Final: April–June"""
9,94,"What are MBA Round 1, Round 2, and Round 3 deadlines?","Round 1 (R1): Usually in September-October
Round 2 (R2): Typically in January
Round 3 (R3): Often in March-April
Top schools encourage applying in R1 or R2, especially for scholarships and international visa processing.","Round 1: September–October | ""Round 2: January"" | ""Round 3: March–April"" | ""apply in r1 or r2 for scholarships and faster visa processing"""
10,95,Why is your pricing higher than some competitors?,"Our pricing reflects our highly personalized approach: every application is custom-built from scratch, reviewed by senior counselors—not juniors—and often personally overseen by our CEO. We don’t do copy-paste work. You’re paying for expertise, personalization, and success.","highly personalized approach | ""custom-built applications"" | ""reviewed by senior counselors"" | ""no copy-paste"" | ""CEO oversight"""
10,96,Can we start small? We’re not ready to spend ?5L right now.,Absolutely. You can begin with a single counseling session + career test to get a roadmap and then decide. Many families do this before upgrading to a full package.,"single counseling session | ""career test"" | ""roadmap"" | ""upgrade to full package"""
10,97,Can I work with you for fewer schools? What happens then?,"Yes, and most students do. While many apply to ~20 schools, they typically choose to work with us on 12 or 15 and handle the rest on their own. This allows both expert support and some flexibility.","work with us on 12 or 15 | ""handle the rest on their own"" | ""flexibility"" | ""expert support"""
10,98,Do we save more if we work with you on more schools?,"Yes. Our per-school cost drops significantly as the number of schools increases-especially at 7, 10, 12, or 15 schools. It's a great value as you scale up.","per-school cost drops | ""scale up"" | ""7, 10, 12, or 15 schools"" | ""great value"""
10,99,Will the rates go up later in the year?,Yes. We revise our pricing every financial year. Booking now helps you lock in the current rate and avoid seasonal price hikes.,"revise pricing every financial year | ""lock in current rate"" | ""seasonal price hikes"""
10,100,Are there any discounts available right now?,"We offer profile-based scholarships—for example, if you’re from a target school/college or have a high GRE/GMAT/SAT score. Ask us, and we’ll check what you qualify for","profile-based scholarships | ""target school/college"" | ""high GRE/GMAT/SAT score"" | ""check what you qualify for"""
10,101,What kind of limited-period offers do you run?,"Monthly offers include free test prep sessions, additional edits, or bonus counseling time. And for high scorers, we only have 2 discounted slots left this month. They go fast!","monthly offers | ""free test prep sessions"" | ""additional edits"" | ""bonus counseling time"" | ""high scorers"" | ""discounted slots"""
10,102,Do you offer any early sign-up bonuses?,Yesâ€”especially between April to July and August onwards. You also get monthly value-adds like LOR workshops or extra mock interviews depending on when you sign up.,"April to July | ""August onwards"" | ""LOR workshops"" | ""extra mock interviews"""
10,103,We’re thinking of waiting till August. Is that okay?,"From August onwards, we work with only a few students each year. To guarantee a spot, we suggest booking early. We hit full capacity by the time deadlines approach.","few students each year | ""guarantee a spot"" | ""full capacity"""
10,104,Who will I be working with?,You will work directly with senior counselors onlyâ€”not assistants. Each application is deeply reviewed and personalized by experts.,"senior counselors only | ""not assistants"" | ""personalized by experts"""
10,105,How involved is the leadership in my application?,"Our CEO, Vibha Kazgi, personally oversees the strategy and writing quality for every single client, ensuring the work aligns with ReachIvy standards.","CEO Vibha Kazgi | ""personally oversees strategy"" | ""ReachIvy standards"""
10,106,Can I contact someone if I have a quick doubt?,"Yes! Once you enroll, youâ€™ll be added to a dedicated WhatsApp group with our operations team. You can message anytime.","dedicated WhatsApp group | ""message anytime"" | ""operations team"""
10,107,How do I know this works for someone like me?,We'll share examples of students from similar backgrounds/schools/companies who have succeeded with us. That context builds confidence.,"examples of students | ""similar backgrounds"" | ""builds confidence"""
10,108,My background is in health/finance/fashionâ€”will my counselor understand that?,Yes. We pair you with counselors who have relevant experience. We have subject-matter experts.,"relevant experience | ""subject-matter experts"" | ""paired accordingly"""
10,109,Another parent we know said it didn’t work out for them,": We’ve seen this before. One family with a 1520 SAT score didn’t sign up due to price—and unfortunately, their daughter didn’t get into her dream college. They’ve now returned to work with us for her transfer and their son’s UG apps. We don't want others to repeat that mistake.","1520 SAT | ""didn’t get dream college"" | ""returned to work with us"" | ""avoid the mistake"""
11,110,What are the three classifications used for student leads at ReachIvy?,"Very Hot, Hot, Low",Very Hot | Hot | Low
11,111,A student has scored 96% in their Class 12 Board exams. How would you classify this lead?,Very Hot,Very Hot
11,112,A student is applying for an MBA in Architecture. What is their classification?,Very Hot,Very Hot
11,113,A student has 1+ year work experience at TCS and is applying for a Master’s. How would you classify them?,Very Hot,Very Hot
11,114,"If a student has no standout achievements and comes from a school or company not listed in the 'Very Hot' list, how should you classify them?",Hot,Hot
11,115,A student is asking only about scholarship availability and is highly price sensitive. What is their classification?,Low,Low
11,116,A student is an intern at Goldman Sachs and applying for a Deferred MBA. How should they be classified?,Very Hot,Very Hot
11,117,A student is from SRCC and is working at EY. How would you classify them?,Very Hot,Very Hot
11,118,"A student has worked full-time at a local NGO for 2 years with a salary of ?25,000/month. What’s their classification?",Very Hot,Very Hot
11,119,A student is applying for MBBS abroad. What is their classification?,Low,Low
11,120,What is the classification if the student won a medal for India in an International Olympiad?,Very Hot,Very Hot
11,121,A student is currently working at Capgemini. Can they be considered for Very Hot?,"Yes, on a case-by-case basis (Yellow List)",Yes | Yellow List
11,122,What is the default classification if there is not enough profile information provided?,Hot,Hot
11,123,"If a student is studying at IIT Bombay but doesn’t provide any other details, how should you classify them?",Very Hot,Very Hot
11,124,"If someone asks about scholarships only and does not indicate ability to pay, how do you classify them?",Low,Low
12,125,What is a Deferred MBA program?,"A Deferred MBA allows final-year undergrads or recent grads with little/no work experience to secure future admission to an MBA program, starting after 2 years of work experience.",deferred mba | undergrad | recent graduate | 2 years work experience | future mba
12,126,Who is eligible to apply for Deferred MBA programs?,Final-year undergraduate students or recent graduates with little or no full-time work experience.,final year | undergrad | recent graduate | no work experience
12,127,How long is a Deferred MBA program?,"Typically, 2 years of full-time work experience followed by 2 years of MBA study.",2 years work | 2 years mba | total duration
12,128,What are the benefits of a Deferred MBA program?,"Early admission to a top MBA program, flexibility to gain experience, global recognition, and career clarity.",early admission | experience | recognition | career clarity
12,129,Name all the top Deferred MBA programs.,"Harvard Business School 2+2, Yale SOM Silver Scholars, Wharton Advance Access, UVA Darden Future Year Scholars, Stanford GSB Deferred Enrolment, MIT Sloan Early Admission, Kellogg Future Leaders, Columbia Deferred Enrollment, ISB YLP.",harvard | yale | wharton | darden | stanford | mit | kellogg | columbia | isb
12,130,What is the Harvard Deferred MBA program called?,Harvard Business School 2+2 Program.,harvard | 2+2
12,131,Does the student start the MBA program immediately after being accepted into a Deferred MBA?,"No, they must complete 2 years of full-time work experience before joining.",not immediate | 2 years work | before mba
12,132,What makes a strong application to Deferred MBA programs?,"Strong academics, leadership potential, competitive test scores, and a compelling personal story.",academics | leadership | test scores | personal story
12,133,Which Indian school offers a Deferred MBA program?,ISB YLP (Young Leaders Programme).,isb | ylp
12,134,Can a student with 2+ years of full-time work experience apply for Deferred MBA?,"No, they should apply to the regular MBA programs instead.",2 years work | regular mba | not deferred
12,135,What kind of profiles are ideal for Deferred MBA?,High-achieving students with leadership potential and a long-term interest in business and management.,high-achieving | leadership | business | management
12,136,Is Deferred MBA globally recognized?,"Yes, Deferred MBA programs are globally recognized and offered by top international institutions.",globally recognized | international | top schools
12,137,Does the student need to take standardized tests for Deferred MBA?,"Yes, most programs require GRE/GMAT scores; students must check each school’s specific criteria.",gre | gmat | test scores | required
12,138,What is the next step after receiving admission to a Deferred MBA?,"Secure full-time employment for 2 years, then begin the MBA program as planned.",full-time job | 2 years | then mba
12,139,Are specializations available in Deferred MBA programs?,"Yes, specializations depend on the business school and areas of interest.",specializations | depend | school | interest
13,140,What is CFA?,"A globally recognized credential in investment and portfolio management, governed by the CFA Institute.",cfa | investment | portfolio management | globally recognized
13,141,Who is eligible for CFA?,"Bachelor’s degree holders, final-year students, or those with 4 years of professional work/study experience.",bachelor | final-year | 4 years experience
13,142,Can I start CFA after 12th grade?,"No, you must be in the final year of your bachelor's at minimum to register.",final year | bachelor | not after 12th
13,143,Is CFA recognized in India?,"Yes, CFA charterholders can freely use the designation in India.",cfa | recognized | india
13,144,How many levels are there in CFA?,Three levels—each requiring passing an exam—to earn the CFA charter.,three levels | exams | cfa charter
13,145,How can final-year or postgraduate students join the CA course?,They may provisionally register for Intermediate through the Direct Entry Route and become eligible after eight months.,final year | direct entry | intermediate
13,146,Is there negative marking in CA exams?,No for Intermediate and Final; yes (0.25 per wrong answer) for Foundation Paper?3 and Paper?4.,negative marking | foundation paper | 0.25
13,147,Have exam dates changed recently?,September 2025 exams were postponed due to security issues; new dates are awaited.,exam dates | postponed | september
13,148,Are live online classes available through ICAI?,"Yes, ICAI has scheduled live online preparatory classes up to 2027.",live classes | online | 2027
13,149,What is the FRM certification?,A prestigious global credential in risk management offered by GARP.,frm | global credential | risk management
13,150,What are the certification requirements for FRM?,"Pass Exam Part I and II, and submit 2 years of relevant experience within 10 years.",exam part i and ii | 2 years experience
13,151,Is there any prerequisite for FRM?,No educational or professional prerequisites are required to register.,no prerequisites | register
13,152,What topics do FRM Part I and II cover?,"Part I: Foundations, Quantitative Analysis, Markets, Valuation. Part II: Market, Credit, Operational, Liquidity risk and current issues.",part i | part ii | topics
13,153,What is the FRM exam format?,Part I: 100 MCQs; Part II: 80 MCQs; both are computer-based.,100 mcq | 80 mcq | computer-based
13,154,How long is the GMAT exam?,"2 hours and 15 minutes total, including one optional 10-minute break.",2 hours 15 minutes | break
13,155,What are the sections in GMAT and their durations?,"Quant: 21 Q (45 mins), Verbal: 23 Q (45 mins), Data Insights: 20 Q (45 mins).",quant | verbal | data insights | 45 minutes
13,156,What is the scoring range of GMAT?,Scores range from 205 to 805 for the Focus Edition.,scoring | 205 to 805 | focus edition
13,157,What features do GMAT practice exams offer?,They replicate the real test experience with authentic content and scoring.,practice exams | real test | scoring
13,158,How long is the GRE General Test?,Approximately 1 hour 58 minutes since Sept 2023 update.,1 hour 58 minutes | new gre
13,159,What sections are included in the GRE?,"Analytical Writing, Verbal Reasoning, Quantitative Reasoning, and an unscored/research section.",analytical writing | verbal | quantitative | unscored
13,160,What skills does the GRE test?,"Verbal, quantitative, analytical writing, and critical thinking.",verbal | quantitative | critical thinking
13,161,How quickly are GRE scores received?,Scores are sent to institutions within 8–10 days.,scores | 8 to 10 days
13,162,What are the top global MBA programs?,"Harvard, Columbia, Cambridge (Judge), Booth, INSEAD, MIT Sloan, Kellogg, LBS, HEC Paris, IE.",harvard | columbia | insead | mit sloan | kellogg | lbs | hec
13,163,What are the basic entry criteria for undergraduate study in the USA?,"Must hold a high school diploma or equivalent, provide SAT/ACT scores, transcripts, personal essays, letters of recommendation, and proof of English proficiency.",high school diploma | SAT | ACT | essays | transcripts | English
13,164,How do I apply for undergraduate study in the UK?,"Use the UCAS portal, choose up to five courses, submit personal statement, academic qualifications (e.g., A?levels/IB), English test, and references before deadlines.",UCAS | personal statement | A?levels | IB | IELTS | deadlines
13,165,What is UCAS?,"UCAS is the centralized Online Application Service for UK undergraduates, managing course applications, personal statements, offers, and deadlines.",UCAS | centralized | applications | deadlines | statements
13,166,What is the Common App used for?,"The Common Application lets applicants apply to multiple U.S. colleges with one form, including personal essays, recommendation letters, transcripts, and test scores.",Common App | essay | recommendation | transcripts
13,167,What is the Coalition Application?,"The Coalition App is an alternative U.S. college admissions platform, providing tools like virtual locker for documents, essays, and counselor support.",Coalition | locker | essays | counselors
13,168,What is Oxford’s 1+1 program?,"A one-year master’s followed by a one-year second master’s at Oxford, often in combination with a partner institution (cotutelle).",Oxford | 1+1 | dual master’s | cotutelle
13,169,Which schools offer a January term (J?term)?,"Columbia, INSEAD, HEC Paris, and Ivey School of Business (Canada) offer J?term modules or term options in January.",J?term | Columbia | INSEAD | HEC | Ivey
13,170,What is the Stanford Reliance Dhirubhai Fellowship?,A scholarship for Indian students with financial need who wish to pursue an MBA at Stanford GSB. Requires a commitment to return to India post-MBA.,Stanford | Dhirubhai | Indian students | MBA | financial aid | return to India
13,171,Can international students transfer undergraduate credits to UCSC?,"Yes, UCSC allows international students to transfer credits from accredited institutions, subject to evaluation.",credit transfer | international | UCSC | undergraduate | accredited
13,172,What is Mensa?,Mensa is a high IQ society open to individuals who score in the top 2% of the population on approved intelligence tests.,mensa | high IQ | top 2 percent | intelligence tests
13,173,What is Teach For India?,A two-year fellowship program where young leaders teach in under-resourced schools to reduce education inequity.,teach for india | fellowship | two years | education | under-resourced
13,174,What does Dasra do?,Dasra is a strategic philanthropy foundation in India that supports social entrepreneurs and nonprofits.,dasra | philanthropy | social entrepreneurs | nonprofits | india
13,175,What is the Gandhi Fellowship?,A two-year residential program for graduates to work on education system transformation in India.,gandhi fellowship | two years | education | transformation | india
13,176,What does the Piramal Foundation do?,"It works in areas of education, health, and safe drinking water through scalable and replicable models.",piramal | foundation | education | health | water
13,177,What is NITI Aayog?,"India’s policy think tank, replacing the Planning Commission, aiming for sustainable development.",niti aayog | india | think tank | planning | development
13,178,What is QCI?,"The Quality Council of India promotes high standards in various sectors including education, health, and environment.",qci | quality | standards | india | education | health
13,179,What is the Young India Fellowship?,A one-year multidisciplinary postgraduate program in liberal studies at Ashoka University.,young india fellowship | ashoka | one year | liberal studies
13,180,What does the Shiv Nadar Foundation do?,"It supports transformational education initiatives like SSN, Shiv Nadar University, and VidyaGyan.",shiv nadar | education | ssn | vidyagyan | university
13,181,What is the MBA Tour?,A global event series connecting prospective MBA applicants with top business schools.,mba tour | global | business schools | admissions
13,182,What is Access MBA?,An international event that connects MBA aspirants one-on-one with business school representatives.,access mba | one-on-one | events | business schools
13,183,What is the QS World MBA Tour?,A global series of MBA fairs featuring top-ranked business schools and application advice.,qs mba | mba tour | top schools | fair
13,184,What is FICCI?,"The Federation of Indian Chambers of Commerce & Industry, a key business association in India.",ficci | business | commerce | industry | india
13,185,What is Rotary?,An international service organization bringing together business and professional leaders for humanitarian efforts.,rotary | international | service | humanitarian
13,186,What is the Rhodes Scholarship?,"A fully funded scholarship for postgraduate study at the University of Oxford, awarded to exceptional students globally.",rhodes | scholarship | oxford | postgraduate | fully funded
13,187,What is the Inlaks Scholarship?,"A scholarship for Indian students to pursue full-time master's, MPhil or doctoral programs abroad.",inlaks | scholarship | indian | master's | abroad
13,188,What is the Gates Cambridge Scholarship?,A prestigious full-cost scholarship for graduate study at the University of Cambridge.,gates | cambridge | scholarship | graduate | full-cost
13,189,What is the Chevening Scholarship?,UK government’s international awards scheme for future leaders to study in the UK.,chevening | scholarship | uk | leaders
13,190,What is STEM education?,"An interdisciplinary approach to learning Science, Technology, Engineering, and Mathematics, promoting innovation.",stem | science | technology | engineering | math | innovation
13,191,What is the basic requirement to apply for high school abroad?,"Completion of Grade 8 or 9 with academic transcripts and English language proficiency, depending on country and school.",grade 8 | grade 9 | transcripts | english proficiency
13,192,What is needed to apply for an undergraduate degree?,"High school diploma or equivalent, standardized test scores (SAT/ACT), transcripts, letters of recommendation, and personal essay.",high school | SAT | ACT | transcripts | essay | recommendation
13,193,What is the entry requirement for a master's degree?,"A recognized undergraduate degree, competitive GPA, test scores (GRE/GMAT), letters of recommendation, and statement of purpose.",undergraduate degree | gre | gmat | recommendation | SOP
13,194,What is needed to apply for an MBA?,"A bachelor's degree, 2-5 years of work experience, GMAT/GRE scores, essays, and interviews.",bachelor | work experience | gmat | gre | mba | essays
13,195,Who is eligible for an LLM program?,"Law graduates (LLB or equivalent) looking to specialize; application usually includes transcripts, language proficiency, and recommendations.",llb | law | transcripts | recommendation | llm
13,196,What is required for a JD (Juris Doctor) program?,"A bachelor's degree, LSAT scores, recommendation letters, and personal statement.",jd | bachelor | lsat | law | recommendation
13,197,What is the entry requirement for a PhD?,"A master's or sometimes a bachelor’s degree with strong academic record, research proposal, GRE scores, and recommendations.",phd | master's | research proposal | gre | recommendation
13,198,Who should apply for Executive Education programs?,"Mid- to senior-level professionals seeking leadership, strategy, or domain-specific skills. No standardized tests required.",executive education | professionals | leadership | no gmat | no gre
13,199,What is the IB board?,IB is a globally recognized school curriculum focusing on critical thinking and global awareness.,ib | global | critical thinking
13,200,What is the ICSE board?,The ICSE is a comprehensive academic curriculum recognized by Indian and international institutions.,icse | indian | academic
13,201,What is the CBSE board?,The Central Board of Secondary Education is an Indian national curriculum known for its standardized structure and wide recognition.,cbse | central board | india | standardized
13,202,Are Indian state boards accepted internationally?,"Yes, but some international universities may require grade conversions or equivalency evaluations.",state board | india | grade conversion | international | equivalency
13,203,What is the IGCSE board?,"The IGCSE is a UK-based curriculum recognized globally for grades 9 and 10, emphasizing analytical skills and international standards.",igcse | international | certificate | uk curriculum
13,204,What is the Cambridge curriculum?,"The Cambridge Assessment International Education offers a globally recognized K-12 curriculum including IGCSE and A Levels, known for academic rigor and flexibility.",cambridge | igcse | a levels | international | academic rigor
14,205,How should a student domiciled outside India make a payment?,They must pay as per the USD rate applicable. No exceptions.,outside india | usd rate | no exception
14,206,Can a student outside India use their Indian bank account for payment?,"Yes, but the student must pay the INR equivalent with GST as per Indian law.",indian account | usd-inr | gst | indian law
14,207,Is GST applicable if the student uses their foreign account to pay?,"No, GST is not applicable. Students should be advised to choose this option to save taxes.",foreign account | no gst | save taxes
14,208,What is the remittance handling process at ReachIvy?,"Forward HDFC remittance email to RM (e.g., Bhanu Negi) with the invoice attached. RM coordinates with Forex manager.",remittance | hdfc | bhanu | invoice | forex
14,209,What should you do if RM contact changes?,Stay updated and ensure the correct Relationship Manager contact is used.,rm change | update contact | relationship manager
15,210,What are the preferred payment methods for students?,"Bank transfers, UPI, or NEFT are preferred due to no bank charges and instant confirmation.",bank transfer | upi | neft | no charges
15,211,When can students use the INR payment link?,If they insist on paying by credit or debit card.,inr link | debit card | credit card
15,212,When should Razorpay be used?,"As a backup when bank transfer, UPI, NEFT, or payment link do not work and the payment is urgent.",razorpay | backup | urgent
15,213,What is the ReachIvy policy on part payments?,"Full payment is required before access is granted, but 2–3 part payments may be allowed on exception for 5-school+ packages.",part payment | full payment | 2-3 installments | exception
15,214,What are the standard installment options for part payment?,Either 50/50 or 34/33/33 installment structure based on timing.,installments | 50/50 | 34/33/33
15,215,Is there a penalty for late installment payments?,"Yes, Rs 500/day late fee is charged for overdue installments.",late fee | 500 per day | overdue
15,216,When must all installments be completed?,"By March 31st of the financial year, including early bird rates.",installments | march 31 | early bird
15,217,Can students claim GST credit on ReachIvy services?,Only if payment is made through a business account with a valid GST number.,gst credit | business account | gst number
15,218,Can GST credit be claimed if payment is from a personal account?,"No, GST credit is not available without a GST-registered business account.",personal account | no gst credit
15,219,Can the service name on the GST invoice be changed?,"No, the service name must remain unchanged. Zero tolerance policy.",gst invoice | service name | no change
15,220,What information is required to raise a GST invoice for a company?,Company name and valid GST number must be provided by the client.,company name | gst number | gst invoice
16,221,How do you add a new student service on the website/CRM?,"Login to CRM, go to ‘Contents’ > ‘Student Groups’, click ‘Add Services’, enter name and cost in INR/$, then submit.",crm | add service | contents | student groups | inr | usd
16,222,What must you do after adding a service in CRM to display it on payment pages?,"Go to ‘Contents’ > ‘Student Services’ and check the boxes for relevant categories (e.g., MBA, Masters).",student services | payment page | category | checkbox
16,223,"How long does it take for the new service to reflect, and what can speed it up?",Wait 10–15 minutes or ask the system admin to clear the cache.,cache | reflect | 10-15 minutes | system admin
16,224,Where must you update after adding or editing a service?,In the ‘Category wise Prof fees’ and ‘Conversion tracker’ tabs of the Student Conversion Sheet.,student conversion sheet | prof fees | conversion tracker
16,225,How do you update the Category wise Prof fees tab?,"Copy an existing row, insert copied cells, edit service name and cost, then save.",prof fees | copy row | insert | save
16,226,How do you update the Conversion tracker tab?,"Copy an existing column, update cell formula reference to new service name, and save.",conversion tracker | column | formula | service cell
16,227,How do you edit an existing service in CRM?,"Login, go to ‘Contents’ > ‘Student Groups’, click ‘View Services’, edit name and cost, then submit.",edit service | view services | crm | contents
16,228,What is the update process in the Conversion Sheet when a service name changes?,"Update name and cost in Prof Fees tab, edit header and cell reference in Conversion Tracker, then save.",edit name | prof fees | header | conversion tracker
16,229,Where should you start making changes to reflect them on the website?,Make changes from serial number 12 onwards.,serial 12 | website | reflect
16,230,Where do you update the student service name in payment records?,"In the ‘All payment recd’ sheet, edit all occurrences of the service name.",all payment recd | update | service name
16,231,How do you create a new student coupon code in CRM?,"Login, go to Content > Student Coupon > Create, fill details, submit code.",coupon | crm | student coupon | create
16,232,How should coupon codes be formatted?,"Create separate INR and USD codes with 'REACH' as the prefix (e.g., REACH_XX_INR, REACH_XX_USD).",coupon | reach | inr | usd | format
16,233,What should you do after submitting a coupon code?,Test it on the payment link before sharing.,test | coupon | payment link
